elapsed_s,timestamp,total_ops,success_rate,rss_mb,rss_growth,fd_count,fd_growth,threads,avg_latency_ms,max_latency_ms,crashes_total
15,2026-04-12T14:52:51,13080,38.00,0.0,+0.0,0,0,2,0.8,16.0,0
30,2026-04-12T14:53:06,25360,38.00,0.0,+0.0,0,0,2,0.8,16.0,0
45,2026-04-12T14:53:21,36780,37.65,0.0,+0.0,0,0,2,0.0,0.0,0
60,2026-04-12T14:53:36,46980,37.72,0.0,+0.0,0,0,2,0.8,16.0,0
75,2026-04-12T14:53:51,55940,37.75,0.0,+0.0,0,0,2,1.6,16.0,0
90,2026-04-12T14:54:06,63760,37.77,0.0,+0.0,0,0,2,0.8,16.0,0
105,2026-04-12T14:54:21,71400,37.73,0.0,+0.0,0,0,2,1.5,16.0,0
120,2026-04-12T14:54:36,78420,37.65,0.0,+0.0,0,0,2,2.3,16.0,0
135,2026-04-12T14:54:51,84520,37.71,0.0,+0.0,0,0,2,3.1,16.0,0
150,2026-04-12T14:55:06,90080,37.64,0.0,+0.0,0,0,2,3.9,16.0,0
165,2026-04-12T14:55:21,96060,37.61,0.0,+0.0,0,0,2,3.2,16.0,0
